Кампания,Стоимость,Цена за клик,Цена за конверсию,Цена за транзакцию,Доход от клика,Доход,Рентабельность инвестиций в рекламу
yd_vlg_dsa_pg_search,"36379,36","71,61","1212,65","0,00","0,44","0,00","0,62%"
yd_kal_couches_kreslo_all-types_search,"36266,15","57,57","1066,65","0,00","0,12","0,00","0,22%"
yd_barn_mebel_all-types_network,"36245,50","45,65","489,80","0,00","0,01","0,00","0,02%"
yd_yar_dsa_search,"36107,76","75,86","839,72","0,00","0,07","0,00","0,09%"
yd_sim_couches_all-types_general_network_a,"35684,54","43,46","1151,11","0,00","1,36","0,00","3,12%"
yd_kursk_couches_all-types_general_network_b,"35525,67","35,28","3947,30","0,00","0,00","0,00","0,00%"
yd_tvr_dsa_pg_search,"35247,42","108,45","1215,43","0,00","2,53","0,00","2,33%"
yd_barn_couches_all-types_general_network_c,"35189,07","35,01","781,98","0,00","0,29","0,00","0,82%"
yd_vor_couches_all-types_category_network,"34613,41","41,21","524,45","0,00","0,00","0,00","0,00%"
yd_vlg_couches_all-types_general_network_a,"34596,96","53,56","935,05","0,00","0,11","0,00","0,21%"
yd_sev_mebel_all-types_network,"33936,12","29,59","342,79","0,00","0,00","0,00","0,00%"
yd_yar_bed_all-types_search,"32757,17","96,63","1213,23","0,00","1,32","0,00","1,37%"
yd_tvr_couches_general-words_search-v3,"32704,07","87,68","743,27","0,00","0,00","0,00","0,00%"
yd_orel_couches_all-types_category_network,"32455,84","36,14","705,56","0,00","0,00","0,00","0,00%"
yd_vor_mebel_all-types_network,"32118,20","44,00","338,09","0,00","0,01","0,00","0,01%"
yd_kursk_couches_all-types_general_network_c,"31958,42","33,75","1682,02","0,00","0,00","0,00","0,00%"
yd_msk_couches_model_search_v4,"31941,54","51,02","912,62","0,00","0,00","0,00","0,00%"
yd_ekb_korpus_shkaf-all-types_network-v2,"31658,72","26,45","1021,25","0,00","0,00","0,00","0,00%"
yd_sta_couches_all-types_category_network,"31643,99","34,66","452,06","0,00","0,83","0,00","2,39%"
yd_belg_couches_kreslo_all-types_search,"31568,83","49,33","830,76","0,00","0,00","0,00","0,00%"
yd_tul_couches_all-types_category_network,"31463,67","41,67","561,85","0,00","0,00","0,00","0,00%"
yd_tyum_mebel_all-types_search,"31187,66","78,96","842,91","0,00","3,16","0,00","4,01%"
yd_cfo_bed_generic_network_v5_ctr,"30983,46","66,77","491,80","0,00","2,00","0,00","3,00%"
yd_vor_korpus_shkaf-general_search-v2_cpa_exp,"30650,70","70,95","1226,03","0,00","0,00","0,00","0,00%"
yd_sta_couches_kreslo_all-types_search,"30582,99","35,56","449,75","0,00","1,06","0,00","2,98%"
yd_kazan_korpus_shkaf-general_search-v2_cpa,"30325,05","69,24","1166,35","0,00","0,00","0,00","0,00%"
yd_tul_mebel_all-types_network,"30158,80","51,73","603,18","0,00","0,03","0,00","0,06%"
yd_kursk_couches_all-types_network_v4_ctr,"30081,18","33,31","699,56","0,00","0,88","0,00","2,64%"
yd_chel_dsa_pg_search,"30009,06","78,97","750,23","0,00","0,00","0,00","0,00%"
yd_msk_couches_cvet_general-words_network-v2_cpa_exp,"29745,67","104,74","708,23","0,00","0,00","0,00","0,00%"
yd_vld_wardrobe_generic_search_v5,"29289,48","84,17","1084,80","0,00","0,00","0,00","0,00%"
yd_kursk_couches_all-types_general_network_a,"29158,48","41,60","1534,66","0,00","0,00","0,00","0,00%"
yd_sev_couches_all-types_category_network,"29013,39","36,68","483,56","0,00","0,00","0,00","0,00%"
yd_bryan_couches_all-types_network_v4_ctr,"28615,64","27,76","561,09","0,00","1,69","0,00","6,08%"
yd_kursk_couches_all-types_category_network,"28441,07","34,85","1093,89","0,00","0,00","0,00","0,00%"
yd_ufa_couches_kreslo_all-types_search,"28281,76","41,05","642,77","0,00","0,28","0,00","0,68%"
yd_vor_korpus_shkaf-general_search-v2_cpa,"28268,43","77,45","1130,74","0,00","0,00","0,00","0,00%"
yd_belg_mebel_all-types_search,"28000,63","121,74","3500,08","0,00","0,00","0,00","0,00%"
yd_smol_couches_all-types_category_network,"27893,35","39,29","664,13","0,00","0,00","0,00","0,00%"
yd_lip_mebel_all-types_network,"27541,55","39,29","377,28","0,00","0,65","0,00","1,65%"
yd_vlg_couches_all-types_category_network,"27474,15","36,49","457,90","0,00","0,32","0,00","0,88%"
yd_volgd_couches_kreslo_all-types_search,"27447,89","42,69","722,31","0,00","0,00","0,00","0,00%"
yd_lip_couches_all-types_category_network,"27340,54","42,13","738,93","0,00","0,00","0,00","0,00%"
yd_msk_couches_modul_general-words_search-v2,"26662,62","89,77","888,75","0,00","0,00","0,00","0,00%"
yd_tamb_couches_kreslo_all-types_search,"26382,22","45,57","775,95","0,00","0,00","0,00","0,00%"
yd_yar_couches_all-types_category_network,"26349,26","49,25","439,15","0,00","0,00","0,00","0,00%"
yd_sta_couches_network_v5,"26306,29","31,32","365,37","0,00","0,00","0,00","0,00%"
yd_chel_mebel_all-types_network_ctr,"26091,43","30,91","389,42","0,00","0,68","0,00","2,20%"
yd_ekb_smart_banner_retargeting_new_dop-cat_cpa,"26053,80","45,31","465,25","0,00","0,77","0,00","1,70%"
yd_tyum_korpus_mebel_search,"25807,96","66,17","1032,32","0,00","0,00","0,00","0,00%"
yd_sta_mebel_all-types_network,"25803,34","32,91","423,01","0,00","1,80","0,00","5,47%"
yd_barn_couches_all-types_category_network,"25570,55","14,97","1826,47","0,00","0,00","0,00","0,00%"
yd_msk_couches_mechanism_akcii_network-v2_cpa,"25452,42","27,22","391,58","0,00","1,92","0,00","7,05%"
yd_belg_couches_general-words_search-v3,"25296,13","31,70","562,14","0,00","0,00","0,00","0,00%"
yd_perm_mebel_all-types_search,"25100,20","55,17","697,23","0,00","0,03","0,00","0,05%"
yd_tamb_couches_all-types_category_network,"24557,44","32,40","944,52","0,00","0,00","0,00","0,00%"
yd_msk_couches_divan-i-kresla_search-v2,"24529,90","46,72","721,47","0,00","0,91","0,00","1,95%"
yd_vld_bedroom_bed_general-words_search-v3,"24330,27","68,73","1280,54","0,00","0,00","0,00","0,00%"
yd_ufa_mebel_all-types_network,"24094,60","50,73","415,42","0,00","0,00","0,00","0,00%"
yd_vld_couches_kreslo_all-types_search,"24072,40","48,73","802,41","0,00","0,00","0,00","0,00%"
yd_vld_competitors_big_network_ctr,"24002,16","78,44","705,95","0,00","0,00","0,00","0,00%"
yd_kal_couches_all-types_network_v4_new_ctr,"23998,18","15,86","1846,01","0,00","0,41","0,00","2,59%"
yd_sarat_dsa_pg_search,"23993,42","50,41","2181,22","0,00","0,00","0,00","0,00%"
yd_belg_couches_all-types_general_network_b,"23957,97","41,81","1331,00","0,00","0,00","0,00","0,00%"
yd_yar_dsa_pg_search,"23721,11","77,77","1031,35","0,00","0,00","0,00","0,00%"
yd_belg_mebel_all-types_network,"23570,21","33,15","512,40","0,00","1,50","0,00","4,53%"
yd_tolyat_smart_banner_retargeting_new,"23506,65","11,46","164,38","0,00","0,00","0,00","0,00%"
yd_belg_couches_all-types_general_network_c,"23452,83","48,16","1019,69","0,00","0,00","0,00","0,00%"
yd_kal_dsa_pg_search,"23182,79","80,22","1545,52","0,00","0,00","0,00","0,00%"
yd_tmsk_mebel_all-types_network,"22966,11","37,96","260,98","0,00","0,00","0,00","0,00%"
yd_sim_mebel_all-types_network,"22870,07","33,34","351,85","0,00","0,86","0,00","2,58%"
yd_tul_bed_all-types_search,"22820,14","104,68","1037,28","0,00","0,06","0,00","0,05%"
yd_sta_couches_all-types_network_v4,"22617,08","27,75","426,74","0,00","0,24","0,00","0,87%"
yd_sim_wardrobe_generic_search_v5,"22606,74","82,81","1412,92","0,00","0,59","0,00","0,72%"
yd_vld_korpus_mebel_search,"22342,61","79,51","3191,80","0,00","0,00","0,00","0,00%"
yd_ufa_couches_all-types_general_network,"22226,53","44,45","673,53","0,00","0,00","0,00","0,00%"
yd_nnov_couches_all-types_general_network,"22207,90","40,97","482,78","0,00","2,10","0,00","5,12%"
yd_kal_couches_all-types_category_network,"21480,54","42,12","1130,55","0,00","0,00","0,00","0,00%"
yd_orel_couches_kreslo_all-types_search,"21443,17","29,95","523,00","0,00","0,00","0,00","0,00%"
yd_msk_couches_straight_general-words_network-tranz_cpa,"21166,20","71,51","330,72","0,00","2,58","0,00","3,61%"
yd_bryan_couches_all-types_general_network,"21091,02","36,74","659,09","0,00","0,00","0,00","0,00%"
yd_tvr_bed_all-types_search,"20996,64","98,12","1908,79","0,00","0,00","0,00","0,00%"
yd_kursk_mebel_all-types_network,"20842,77","36,19","947,40","0,00","0,00","0,00","0,00%"
yd_ivanovo_couches_all-types_category_network,"20734,21","32,96","609,83","0,00","1,79","0,00","5,44%"
yd_msk_couches_cvet_selling-words_search-v2,"20430,02","90,00","2270,00","0,00","0,00","0,00","0,00%"
yd_yar_competitors_big_network,"20326,15","57,91","3387,69","0,00","0,00","0,00","0,00%"
yd_ufa_brand_network-v2,"20278,44","63,37","389,97","0,00","0,07","0,00","0,11%"
yd_belg_couches_all-types_general_network_a,"20255,14","41,42","964,53","0,00","0,00","0,00","0,00%"
yd_tmsk_smart_banner_retargeting_new_prioritet,"20192,13","70,36","917,82","0,00","0,00","0,00","0,00%"
yd_bryan_couches_all-types_category_network,"20186,84","31,01","367,03","0,00","0,00","0,00","0,00%"
yd_vld_couches_all-types_category_network,"19937,61","37,41","1049,35","0,00","0,00","0,00","0,00%"
yd_volgd_couches_all-types_general_network,"19674,33","36,77","491,86","0,00","0,00","0,00","0,00%"
yd_tamb_mebel_all-types_network,"19573,15","30,07","515,08","0,00","0,00","0,00","0,00%"
yd_tolyat_couches_type_search_v4,"19255,90","45,85","1283,73","0,00","0,00","0,00","0,00%"
yd_msk_hallway_general_words_search,"19171,81","102,52","491,58","0,00","0,00","0,00","0,00%"
yd_sarat_korpus_shkaf-general_search-v2_cpa,"19157,36","57,02","766,29","0,00","0,77","0,00","1,36%"
yd_ekb_couches_all-types_category_network_p,"19137,41","27,94","1275,83","0,00","0,00","0,00","0,00%"
yd_volgd_couches_all-types_category_network,"19037,66","34,55","442,74","0,00","1,56","0,00","4,51%"
yd_sarat_wardrobe_generic_search_v5,"19031,72","61,79","1359,41","0,00","0,00","0,00","0,00%"
yd_lip_smart_banner_retargeting_new_lal_roi,"19018,57","39,62","279,68","0,00","1,57","0,00","3,96%"
yd_kal_korpus_shkaf-general_search-v2_cpa,"18945,96","64,44","947,30","0,00","0,00","0,00","0,00%"
yd_sta_couches_all-types_general_network,"18728,40","32,35","398,48","0,00","0,00","0,00","0,00%"
yd_tul_brand_network-v2,"18650,04","55,18","414,45","0,00","0,00","0,00","0,00%"
yd_kal_couches_all-types_general_network,"18621,54","47,38","1862,15","0,00","0,00","0,00","0,00%"
yd_yar_wardrobe_generic_search_v5,"18584,31","82,97","1429,56","0,00","0,00","0,00","0,00%"
yd_belg_dsa_pg_search,"18249,36","62,50","1013,85","0,00","0,00","0,00","0,00%"
yd_volgd_wardrobe_generic_search_v5,"18136,12","69,49","1511,34","0,00","0,00","0,00","0,00%"
yd_tmsk_wardrobe_generic_search_v5,"18096,75","124,81","1508,06","0,00","0,00","0,00","0,00%"
yd_chel_couches_all-types_general_network,"18032,22","48,74","581,68","0,00","0,00","0,00","0,00%"
yd_ivanovo_dsa_pg_search,"17969,97","68,33","1198,00","0,00","0,00","0,00","0,00%"
yd_ufa_couches_all-types_category_network,"17899,67","38,91","344,22","0,00","0,66","0,00","1,69%"
yd_yar_couches_general-words_search-v3,"17772,13","40,95","846,29","0,00","0,00","0,00","0,00%"
yd_ufa_couches_all-types_network_v4,"17700,36","9,45","276,57","0,00","0,52","0,00","5,52%"
yd_ros_mebel_all-types_search,"17544,19","61,13","449,85","0,00","0,06","0,00","0,10%"
yd_kal_wardrobe_generic_search_v5,"17438,49","75,17","601,33","0,00","2,26","0,00","3,01%"
yd_vlg_wardrobe_generic_search_v5,"17415,98","71,09","2177,00","0,00","0,00","0,00","0,00%"
yd_ekb_couches_all-types_category_network_k,"17323,71","13,59","3464,74","0,00","0,00","0,00","0,00%"
yd_volgd_smart_banner_retargeting_new,"17237,12","30,67","242,78","0,00","0,00","0,00","0,00%"
yd_sarat_smart_banner_retargeting_new_lal_roi,"17119,48","12,07","178,33","0,00","0,06","0,00","0,54%"
yd_msk_couches_corner_selling-words_network-v2_cpa,"16920,99","26,77","384,57","0,00","1,06","0,00","3,97%"
yd_msk_korpus_shkaf-selling-words_search-v2_rlsa,"16884,50","70,65","1125,63","0,00","0,00","0,00","0,00%"
yd_spb_couches_model_search_v4,"16791,38","72,38","1526,49","0,00","0,00","0,00","0,00%"
yd_tolyat_couches_general_search-v4,"16259,49","39,75","580,70","0,00","0,00","0,00","0,00%"
yd_ekb_couches_all-types_general_network_k,"15648,92","14,01","1956,12","0,00","0,26","0,00","1,87%"
yd_sarat_couches_all-types_category_network,"15646,93","24,07","504,74","0,00","0,00","0,00","0,00%"
yd_tolyat_couches_kreslo_all-types_search,"15621,04","28,82","488,16","0,00","0,00","0,00","0,00%"
yd_kursk_br_couches_magazin_search-v2,"15435,26","57,81","671,10","0,00","0,13","0,00","0,22%"
yd_ufa_bed_generic_search_v5,"15368,81","70,82","1397,16","0,00","0,00","0,00","0,00%"
yd_vlad_couches_all-types_general_network,"15349,50","35,70","495,15","0,00","0,00","0,00","0,00%"
yd_ryz_mebel_all-types_search,"15310,83","57,78","1275,90","0,00","0,00","0,00","0,00%"
yd_bryan_couches_kreslo_all-types_search,"15287,51","31,59","694,89","0,00","0,00","0,00","0,00%"
yd_vld_dsa_dop-cat_search,"15117,20","117,19","3779,30","0,00","0,00","0,00","0,00%"
yd_tvr_korpus_shkaf-general_search-v2_cpa,"15030,56","98,24","1156,20","0,00","0,00","0,00","0,00%"
yd_spb_couches_obivka_general-words_search-v2,"15003,37","87,74","5001,12","0,00","0,00","0,00","0,00%"
yd_msk_broad_couches_network-v2,"14914,06","13,68","317,32","0,00","0,74","0,00","5,44%"
yd_kazan_couches_all-types_general_network,"14649,25","51,76","636,92","0,00","0,00","0,00","0,00%"
yd_orel_wardrobe_generic_search_v5,"14610,21","149,08","2922,04","0,00","0,00","0,00","0,00%"
yd_msk_couches_corner_general-words_network-v2_cpa,"14428,56","70,04","759,40","0,00","0,00","0,00","0,00%"
yd_lip_mebel_all-types_search,"14406,99","56,28","800,39","0,00","0,00","0,00","0,00%"
yd_bryan_couches_selling_search-v2,"14397,89","49,14","514,21","0,00","0,00","0,00","0,00%"
yd_vlg_mebel_likvid_network_cpa,"14322,02","33,86","304,72","0,00","0,53","0,00","1,56%"
yd_sarat_couches_general-words_search-v3_old,"14187,43","33,46","363,78","0,00","0,08","0,00","0,24%"
yd_sta_wardrobe_generic_search_v5,"14110,63","79,27","1175,89","0,00","0,00","0,00","0,00%"
yd_kra_categor_retargeting_new-segment_old,"14000,00","44,16","134,62","0,00","0,00","0,00","0,00%"
yd_tvr_wardrobe_generic_search_v5,"13619,42","100,14","851,21","0,00","0,00","0,00","0,00%"
yd_chel_couches_all-types_category_network,"13592,07","33,15","388,34","0,00","0,00","0,00","0,00%"
yd_ufa_couches_general-words_search-v3_old,"13564,63","36,66","423,89","0,00","0,00","0,00","0,00%"
yd_kra_bedroom_bed_general-words_network-v3_cpa,"13545,00","32,17","564,38","0,00","0,00","0,00","0,00%"
yd_ros_brand_network-v2,"13541,22","56,90","644,82","0,00","0,00","0,00","0,00%"
yd_kursk_mebel_all-types_search,"13495,21","55,31","899,68","0,00","0,00","0,00","0,00%"
yd_vlad_smart_banner_retargeting_new,"13489,14","18,43","293,24","0,00","0,00","0,00","0,00%"
yd_spb_mebel_geo_search,"13433,57","57,16","497,54","0,00","2,65","0,00","4,63%"
yd_sarat_couches_all-types_general_network,"13393,41","31,44","837,09","0,00","0,00","0,00","0,00%"
yd_spb_myagkaya-mebel_search-v2,"13355,19","49,10","333,88","0,00","0,00","0,00","0,00%"
yd_ufa_couches_general-words_search-v3_new,"13340,83","32,86","494,10","0,00","0,47","0,00","1,42%"
yd_kursk_couches_kreslo_all-types_search,"13234,42","25,02","413,58","0,00","0,00","0,00","0,00%"
yd_reg_competitors_models_search,"13222,67","62,67","314,83","0,00","0,00","0,00","0,00%"
yd_tvr_couches_all-types_general_network_k,"13120,22","13,43","2624,04","0,00","0,00","0,00","0,00%"
yd_sev_wardrobe_generic_search_v5,"13109,65","81,94","1191,79","0,00","0,00","0,00","0,00%"
yd_sev_mebel_all-types_search,"12930,27","46,02","1175,48","0,00","0,00","0,00","0,00%"
yd_vor_mebel_all-types_search,"12886,30","42,39","991,25","0,00","0,00","0,00","0,00%"
yd_barn_mebel_all-types_search,"12673,52","46,25","1584,19","0,00","0,00","0,00","0,00%"
yd_nsk_couches_kreslo_all-types_network_new_text,"12653,00","35,34","702,94","0,00","0,00","0,00","0,00%"
yd_barn_dsa_pg_search,"12462,79","50,87","733,11","0,00","0,02","0,00","0,04%"
yd_tvr_mebel_all-types_search,"12209,43","46,42","2441,89","0,00","0,00","0,00","0,00%"
yd_smol_mebel_all-types_search,"12110,81","41,48","1009,23","0,00","0,00","0,00","0,00%"
yd_kra_categor_retargeting_new-segment_promokod,"12000,00","70,59","150,00","0,00","0,00","0,00","0,00%"
yd_kazan_couches_all-types_category_network,"11942,92","47,96","459,34","0,00","0,00","0,00","0,00%"
yd_msk_myagkaya-mebel_general-words_search-v2,"48221,04","71,44","524,14","48221,04","12,65","8541,00","17,71%"
yd_barn_wardrobe_generic_search_v5,"17637,13","67,32","839,86","17637,13","37,88","9890,00","56,27%"
yd_vor_couches_general-words_search-v3,"41862,55","38,65","536,70","41862,55","10,85","9990,00","28,07%"
yd_vld_mebel_likvid_network_cpa,"20849,00","46,96","254,26","10424,50","23,83","10580,00","50,75%"
yd_tyum_wardrobe_generic_search_v5,"47649,44","84,79","1162,18","47649,44","19,56","10990,00","23,06%"
yd_msk_magazin-mebeli_general-words_search-v2,"113313,16","102,27","569,41","56656,58","11,40","11980,00","11,14%"
yd_spb_couches_interes_network_cpa,"79857,41","100,70","578,68","79857,41","15,29","11990,00","15,18%"
yd_perm_couches_all-types_general_network_a,"69445,71","57,92","1335,49","69445,71","10,27","11990,00","17,74%"
yd_msk_bedroom_bed_1-5-spalnaya_selling-words_network-v2,"34354,00","107,36","464,24","34354,00","42,11","11990,00","39,23%"
yd_kazan_couches_all-types_network_v4_new,"44240,33","24,04","1382,51","44240,33","6,60","12030,00","27,44%"
yd_belg_couches_all-types_category_network,"39297,23","12,71","689,43","39297,23","4,17","12890,00","32,80%"
yd_orel_mebel_all-types_network,"48578,95","41,77","385,55","48578,95","11,17","12990,00","26,74%"
yd_msk_kreslo-krovat_network-v2_cpa,"19595,00","41,87","502,44","19595,00","27,76","12990,00","66,29%"
yd_spb_mkb_search-v2,"11922,37","794,82","1490,30","11922,37","866,00","12990,00","108,95%"
yd_sta_mebel_likvid_network_cpa_ctr,"29408,66","21,58","205,65","29408,66","11,68","14990,00","54,12%"
yd_yar_mebel_all-types_search,"19352,27","60,48","1488,64","19352,27","46,84","14990,00","77,46%"
yd_sarat_couches_kreslo_all-types_network_ctr,"52147,84","55,59","592,59","52147,84","17,05","15990,00","30,67%"
yd_smol_mebel_all-types_network,"46822,57","37,61","418,06","46822,57","12,84","15990,00","34,15%"
yd_chel_wardrobe_generic_search_v5,"32807,16","60,75","762,96","32807,16","30,17","16290,00","49,65%"
yd_ryz_dsa_pg_search,"23172,08","81,59","1158,60","23172,08","59,82","16990,00","73,32%"
yd_kazan_couches_kreslo_all-types_network_ctr,"103521,80","65,94","916,12","103521,80","11,46","17990,00","17,38%"
yd_tvr_couches_all-types_category_network,"27649,99","38,51","727,63","27649,99","25,06","17990,00","65,06%"
yd_chel_couches_kreslo_all-types_network_ctr,"76378,12","43,67","446,66","76378,12","11,25","18790,00","25,76%"
yd_vlg_mebel_all-types_network,"40393,29","51,00","342,32","40393,29","25,44","18990,00","49,88%"
yd_tul_dsa_pg_search,"33085,74","82,71","1102,86","33085,74","47,48","18990,00","57,40%"
yd_ryz_couches_all-types_general_network,"42567,93","39,97","925,39","42567,93","18,35","19490,00","45,90%"
yd_chel_brand_search-v2,"38254,19","48,06","119,17","38254,19","25,53","19490,00","53,12%"
yd_msk_magazin-mebeli_geo_search-v2,"60846,80","54,23","790,22","60846,80","19,46","20980,00","35,88%"
yd_spb_bed_size_search_v5,"44995,52","80,21","978,16","44995,52","37,42","20990,00","46,65%"
yd_sev_dsa_pg_search,"13135,71","51,11","1094,64","13135,71","81,67","20990,00","159,79%"
yd_tyum_mebel_all-types_network,"72123,50","77,30","316,33","72123,50","23,77","21990,00","30,75%"
yd_kra_korpus_shkaf-all-types_network-v2_ctr,"55018,98","84,64","687,74","55018,98","33,83","21990,00","39,97%"
yd_vor_wardrobe_generic_search_v5,"46521,99","93,42","802,10","46521,99","44,16","21990,00","47,27%"
yd_smol_smart_banner_retargeting_new,"45404,82","40,22","463,31","45404,82","19,48","21990,00","48,43%"
yd_ufa_dsa_pg_search,"43264,27","59,84","676,00","43264,27","30,41","21990,00","50,83%"
yd_vld_dsa_pg_search,"34596,09","108,45","843,81","34596,09","74,21","21990,00","68,42%"
yd_ros_couches_general-words_search-v3,"34307,07","28,66","314,74","34307,07","18,65","21990,00","65,07%"
yd_ivanovo_couches_all-types_general_network,"19504,66","32,84","609,52","19504,66","37,02","21990,00","112,74%"
yd_spb_couches_modeli_network-v2_cpa,"23805,76","46,50","553,62","23805,76","43,50","22270,00","93,55%"
yd_spb_bed_size_network_v5,"40491,16","102,51","1065,56","40491,16","60,98","22990,00","59,49%"
yd_ekb_mebel_all-types_search,"31409,17","63,45","872,48","31409,17","46,44","22990,00","73,20%"
yd_smol_couches_kreslo_all-types_search,"30510,68","30,63","455,38","30510,68","23,08","22990,00","75,35%"
yd_yar_competitors_big_network_ctr,"63468,89","77,97","647,64","31734,45","29,50","23980,00","37,84%"
yd_msk_couches_razm_general-words_search-v2,"92789,79","55,33","806,87","92789,79","14,43","23990,00","26,08%"
yd_ivanovo_couches_kreslo_all-types_search,"23320,62","43,43","506,97","23320,62","45,21","24280,00","104,11%"
yd_perm_couches_all-types_general_network_c,"54343,99","53,33","799,18","54343,99","24,51","24980,00","45,97%"
yd_vld_couches_all-types_general_network,"20018,62","44,00","1177,57","20018,62","57,12","25990,00","129,83%"
yd_nsk_smart_banner_retargeting_new_lal,"130175,81","41,34","309,94","130175,81","9,59","26390,00","23,19%"
yd_kra_korpus_mebel_search,"45829,48","78,88","1636,77","45829,48","46,17","26530,00","58,53%"
yd_msk_couches_all-types_network_v4,"66357,84","97,44","345,61","66357,84","42,76","26990,00","43,88%"
yd_ekb_couches_all-types_general_network,"86824,35","25,80","683,66","86824,35","8,37","27470,00","32,43%"
yd_ufa_korpus_mebel_search,"41367,18","79,25","1034,18","41367,18","53,74","27970,00","67,82%"
yd_ekb_couches_kreslo_all-types_network_ctr,"15162,71","92,46","758,14","15162,71","176,77","28990,00","191,19%"
yd_sta_smart_banner_retargeting_new_lal_roi,"55686,13","38,62","348,04","27843,07","21,20","29980,00","54,89%"
yd_ekb_wardrobe_generic_search_v5,"18341,87","75,48","833,72","18341,87","123,37","29980,00","163,45%"
yd_msk_couches_geo_search-v2_new,"93931,84","68,46","1219,89","93931,84","22,44","29990,00","32,77%"
yd_msk_br_couches_magazin_network-v2_cpa_old,"42121,79","97,50","443,39","42121,79","70,79","29990,00","72,60%"
yd_ekb_brand_network-v2_ctr,"30449,46","67,67","349,99","15224,73","67,29","30280,00","99,44%"
yd_nnov_dsa_search,"33681,19","62,49","783,28","33681,19","57,48","30980,00","91,98%"
yd_ros_couches_all-types_category_network,"49102,42","52,97","358,41","12275,61","34,67","31396,00","65,46%"
yd_vor_br_couches_magazin_search-v3,"15974,32","50,55","371,50","7987,16","101,20","31980,00","200,20%"
yd_spb_korpus_mebel_search,"131078,53","74,69","740,56","43692,84","21,35","32270,00","28,58%"
yd_msk_couches_razm_selling-words_search-v2,"107903,73","81,44","1365,87","107903,73","26,03","32990,00","31,96%"
yd_nnov_couches_all-types_category_network,"17822,00","35,08","379,19","17822,00","66,91","33990,00","190,72%"
yd_sev_couches_all-types_general_network,"66190,42","46,29","648,93","66190,42","24,47","34990,00","52,86%"
yd_sim_couches_all-types_category_network,"38106,16","39,45","409,74","19053,08","36,44","34990,00","92,38%"
yd_sarat_couches_general-words_search-v3_new,"17828,85","30,22","414,62","17828,85","59,31","34990,00","196,25%"
yd_spb_couches_modeli_search-v2,"13717,82","69,99","596,43","13717,82","178,52","34990,00","255,07%"
yd_vor_couches_all-types_general_network,"49977,39","48,43","526,08","49977,39","35,33","35490,00","72,96%"
yd_kursk_smart_banner_retargeting_new_cpa,"52080,63","49,70","703,79","52080,63","33,90","35530,00","68,22%"
yd_ekb_bed_all-types_search,"57900,62","72,74","657,96","57900,62","46,47","36990,00","63,89%"
yd_ekb_smart_banner_retargeting_new_prioritet,"68337,65","52,41","471,29","68337,65","29,51","38480,00","56,31%"
