Кампания,Стоимость,Цена за клик,Цена за конверсию,Цена за транзакцию,Доход от клика,Доход,Рентабельность инвестиций в рекламу
yd_msk_couches_mechanism_general-words_search-v2,"119031,29","56,90","937,25","19838,55","79,47","165540,00","139,68%"
yd_msk_competitors_big_search_v2,"132838,13","64,86","404,99","26567,63","82,53","168677,00","127,24%"
yd_kra_couches_kreslo_all-types_search,"141500,67","48,24","538,03","35375,17","59,01","172450,00","122,32%"
yd_nsk_brand_search-v2,"44915,42","46,74","119,14","7485,90","189,93","179632,00","406,38%"
yd_msk_couches_straight_general-words_network-v2_cpa,"77575,20","122,17","412,63","15515,04","292,84","184590,00","239,71%"
yd_nnov_couches_kreslo_all-types_search,"272450,55","60,45","732,39","45408,43","41,40","186440,00","68,49%"
yd_spb_couches_general-words_search-v2,"272968,55","84,67","892,05","54593,71","61,35","191780,00","72,46%"
yd_vor_dsa_pg_search,"51079,45","73,08","945,92","25539,73","280,73","196230,00","384,17%"
yd_tolyat_brand_search-v4,"26674,58","34,64","88,03","6668,65","263,72","202901,00","761,28%"
yd_msk_korpus_mebel_search,"211693,32","51,72","516,33","17641,11","51,24","207562,00","99,08%"
yd_tyum_couches_kreslo_all-types_search,"51784,96","58,91","357,14","10356,99","244,51","212440,00","415,03%"
yd_spb_smart_banner_retargeting_new_dop-cat_cpa,"80992,82","38,20","144,37","6230,22","104,70","215534,00","274,07%"
yd_spb_categor_retargeting,"63174,75","130,80","356,92","15793,69","461,25","221855,00","352,65%"
yd_countries_couches_generic_search_v5,"22953,88","35,70","244,19","7651,29","352,63","223470,00","987,81%"
yd_msk_smart_banner_retargeting_new,"284873,81","57,28","363,82","31652,65","47,16","230868,00","82,33%"
yd_ros_smart_banner_retargeting_new_lal_roi,"108941,32","33,76","220,53","12104,59","76,01","244900,00","225,15%"
yd_msk_competitors_big_network,"264802,47","60,83","331,42","37828,92","58,06","244910,00","95,44%"
yd_spb_wardrobe_generic_search_v5,"105254,46","70,22","388,39","13156,81","170,33","251565,00","242,57%"
yd_kazan_smart_banner_retargeting_new_lal_roi,"90327,71","37,37","253,02","11290,96","105,20","252111,00","281,49%"
yd_msk_kreslo_selling-words_search-v2,"44194,67","54,90","350,75","6313,52","326,61","255916,00","594,91%"
yd_msk_couches_type_search_v5_new,"350093,19","63,78","1011,83","58348,87","49,28","259200,00","77,26%"
yd_spb_brand_network-v2,"103933,40","63,03","339,65","20786,68","159,64","263038,00","253,29%"
yd_spb_couches_type_search_v5,"584448,76","75,96","1425,48","73056,10","34,65","263991,00","45,61%"
yd_tyum_brand_search-v2,"37096,77","42,35","72,60","3091,40","307,53","265810,00","726,19%"
yd_msk_bed_size_search_v5,"732543,06","114,39","1453,46","104649,01","42,71","266870,00","37,34%"
yd_msk_categor_retargeting_new-segment_promokod,"118300,00","136,29","214,31","14787,50","310,42","266922,00","227,76%"
yd_ryz_brand_search-v2,"48542,58","45,62","152,65","8090,43","272,48","288330,00","597,25%"
yd_spb_mebel_likvid_network_cpa,"66704,00","47,41","264,70","9529,14","215,66","302590,00","454,91%"
yd_kazan_brand_search-v2,"47723,17","40,55","110,47","4772,32","281,98","331449,00","695,46%"
yd_ekb_smart_banner_retargeting_new_lal_roi,"221793,93","45,51","277,24","18482,83","74,37","361670,00","163,44%"
yd_spb_dsa_dop-cat_search,"84829,79","73,07","385,59","10603,72","324,76","375520,00","444,48%"
yd_msk_couches_avtotarg_network_сpa,"146895,12","110,78","413,79","13354,10","293,88","387478,00","265,28%"
yd_vlg_brand_search-v2,"35762,57","40,82","85,97","2554,47","465,13","402606,00","1139,33%"
yd_msk_bed_generic_search_v5,"611599,57","114,23","801,57","50966,63","80,74","423120,00","70,68%"
yd_yar_brand_search-v2,"46335,87","43,63","112,47","4633,59","417,61","437629,00","957,16%"
yd_nsk_couches_kreslo_all-types_search,"184851,41","47,78","616,17","20539,05","114,71","439900,00","240,10%"
yd_msk_couches_divan-broad_search_strat,"194478,99","84,93","364,88","12965,27","200,91","452453,00","236,57%"
yd_spb_couches_generic_search_v5,"402632,69","99,56","446,87","22368,48","127,07","497092,00","127,63%"
yd_msk_dsa_dop-cat_search,"110329,32","62,23","264,58","6489,96","282,32","497277,00","453,70%"
yd_perm_brand_search-v2,"43868,43","43,78","83,88","2924,56","497,23","497531,00","1135,73%"
yd_ros_brand_search-v2,"71884,16","44,79","101,53","4792,28","314,42","500647,00","702,03%"
yd_msk_dsa_new_search_cpa,"120897,32","68,38","391,25","13433,04","319,28","560181,00","466,92%"
yd_vor_brand_search-v2,"49105,51","42,74","93,53","3507,54","528,25","601942,00","1236,04%"
yd_spb_dsa_search,"197368,07","68,82","490,97","14097,72","211,81","604246,00","307,78%"
yd_msk_couches_generic_search_v5,"769444,18","123,01","996,69","45261,42","101,22","623813,00","82,28%"
yd_msk_wardrobe_generic_search_v5,"288094,01","80,99","386,19","20578,14","179,68","630072,00","221,84%"
yd_spb_dsa_pg_search,"517382,88","85,57","749,83","28743,49","105,61","635230,00","123,42%"
yd_nnov_brand_search-v2,"75876,24","42,44","98,54","3298,97","369,24","657818,00","870,11%"
yd_msk_categor_retargeting_new-segment_old,"294000,00","122,55","229,33","13363,64","320,58","764088,00","261,59%"
yd_kra_brand_search-v2,"104361,90","43,76","89,58","3366,51","345,81","814232,00","790,30%"
yd_kra_smart_banner_retargeting_new_lal_roi,"215877,01","45,94","258,54","10793,85","184,64","859240,00","401,90%"
yd_msk_divan_search,"307563,14","146,18","450,31","13980,14","437,19","912574,00","299,08%"
yd_ekb_brand_search-v2,"100511,50","43,01","92,38","3045,80","404,19","937413,00","939,78%"
yd_msk_couches_general-selling-words_search-v2,"862665,44","138,78","1040,61","45403,44","153,45","942100,00","110,57%"
yd_msk_br_couches_magazin_search-v2,"857386,07","146,99","595,41","26793,31","193,42","1103612,00","131,59%"
yd_msk_mebel_likvid_network_cpa,"851098,22","61,88","338,54","17731,21","92,07","1239089,00","148,79%"
yd_vld_brand_search-v2,"64653,46","39,57","105,47","1657,78","775,48","1265377,00","1959,89%"
yd_spb_smart_banner_retargeting_new_lal_roi,"1059525,28","60,89","365,35","24080,12","85,15","1455046,00","139,84%"
yd_msk_magazin-mebeli_mastercampaign,"373000,00","43,93","165,41","6907,41","221,56","1847458,00","504,37%"
yd_msk_smart_banner_retargeting_new_dop-cat_cpa,"698142,65","58,14","230,87","10420,04","194,76","2317837,00","334,95%"
yd_msk_magazin-mebeli_asmaster,"1066203,80","98,04","358,99","15913,49","220,69","2374281,00","225,10%"
yd_msk_dsa_pg_search,"1689478,74","74,74","830,21","25991,98","113,49","2536950,00","151,85%"
yd_msk_smart_banner_retargeting_new_lal_roi,"836894,23","43,67","204,17","8539,74","167,38","3166232,00","383,27%"
yd_spb_brand_search-v2,"1044593,43","64,05","134,72","4002,27","520,98","8415962,00","813,39%"
yd_msk_brand_search-v2,"3041597,51","71,48","165,51","5570,69","473,17","19881597,00","662,00%"
